target,level,branching,detectionTask,onset
c))a-(++d(b,0,none,0,3799
b)a+@()--d(,1,left,1,7866
))d-c(a(++b,1,left,0,12023
)(d-c)+b(-a,2,left,0,16075
d-(@+)b-a(c,1,right,1,20192
((d-c)+a)+b,3,left,0,24043
)a)(b+(c--d,0,none,0,27981
((b+d)-a)-c,3,left,0,31985
a-(b+(d+c)),3,right,0,35887
b(()c+)a--d,0,none,0,39921
a+(b-(c+d)),3,right,0,43879
+b)d-(a-c)(,2,right,0,47954
d)b)(c@-+-a,0,none,1,51775
-c)d+(a+b)(,2,right,0,56198
((a-c)+b)-d,3,left,0,60223
))b+a(d(-c-,1,left,0,64111
-d)b+(c+a)(,2,right,0,67951
+a--d))(b(c,0,none,0,71816
)(b-a)+d(c+,2,left,0,76227
d)a+c(-+b(),1,left,0,79821
((c+d)-a)-b,3,left,0,84111
a+)d)-b(-(c,0,none,0,88053
)(c+b)-a(d+,2,left,0,91981
b(-+c)d-a(),1,right,0,95974
a-)c+(d+b)(,2,right,0,99771
c-(b+(a-d)),3,right,0,103841
b+(d-(a+c)),3,right,0,108213
((b-d)+c)-a,3,left,0,112038
+c((d--)b)a,0,none,0,116211
((b-c)+d)-a,3,left,0,119848
(d+)-b)a(c-,0,none,0,124148
b)+c)d--a((,0,none,0,127783
(c-+d))a(b+,0,none,0,131942
)(a-d)+b(c+,2,left,0,136223
))b+d(a--(c,1,left,0,140079
b+)c-(a-d)(,2,right,0,144081
a+(c-(b+d)),3,right,0,148193
+c))-a(d(b+,0,none,0,152093
)(b+d)-a(-c,2,left,0,156036
((c+b)-d)+a,3,left,0,160235
d-+)a)b-c((,1,right,0,163782
-a++@d)b((c,0,none,1,168105
+(-)c)d+a(b,1,right,0,172063
+c)d-(b+a)(,2,right,0,176194
(+)a-)b+c(d,1,right,0,180214
d-(a+(b+c@),3,right,1,183842
b+)a-(c-d)(,2,right,0,187812
((d-b)+c)+a,3,left,0,191896
((a+b)-c)+d,3,left,0,195809
)(c+b)-a(d-,2,left,0,199862
-d)a+)+b(c(,0,none,0,204181
+a)b-(c-d)(,2,right,0,208164
()c+-)b+d(a,1,right,0,211807
d+(c-(b-a)),3,right,0,216195
+d)a-+b)c((,0,none,0,220116
))c-b(d(a++,1,left,0,224126
a@)c-(b-d)(,2,right,1,227807
)(d-a)+c(b+,2,left,0,232205
d)(c-+b)a(-,0,none,0,236014
d-)b+(a-c)(,2,right,0,240013
a+(b-@c-d)),3,right,1,244202
b)+c)((d-+a,0,none,0,248193
)(b-a)+d(-c,2,left,0,251812
-+)a()d-c(b,1,right,0,255956
)d-)b(c++(a,0,none,0,259979
-a)b+(d-c)(,2,right,0,263989
b)c)-(a(d+-,0,none,0,267947
a-(b+(c-d)),3,right,0,271961
a)c-d(()@b+,1,left,1,276155
(a-+))c-b(d,1,right,0,280058
)b+(-c+)a@d,0,none,1,284207
a)d+-)b(c+(,0,none,0,288159
a+-b))c+d((,1,right,0,291822
+)d(-)c+b(a,1,right,0,296179
(+-)a)d-c(b,1,right,0,299820
+b(-))d+a(c,1,right,0,303975
c-)a+(b+d)(,2,right,0,308132
-+()d)a-b(c,1,right,0,311861
(a-+b()c-)d,0,none,0,315965
)(a+d)-c(b+,2,left,0,319932
c-)a(+)+d(b,0,none,0,324033
(+b-))a-d(c,1,right,0,327767
)(d-a)+c(+b,2,left,0,332017
a)-b(+(c+)d,0,none,0,335900
)(c+a)-d(-b,2,left,0,339991
)(a+d)-c(b+,2,left,0,344245
d-)a+(c+b)(,2,right,0,348208
b+(c-(d-a)),3,right,0,352225
d+)c-(a-b)(,2,right,0,355961
b+(a-(d+c)),3,right,0,359948
)(c-b@+d(a+,2,left,1,364169
((a+b)-d)+c,3,left,0,367962
d)a-+(b(+)c,0,none,0,372049
d)c+b(-)(a-,1,left,0,376127
)c+-b)(a(d+,0,none,0,380199
c()-+)b+a(d,1,right,0,383778
c)b+a(-(d+),1,left,0,388058
+c))d(a(--b,0,none,0,392111
c-(d+(a-b)),3,right,0,396085
)(a+c)-b(d-,2,left,0,400212
c-))d+-a((b,0,none,0,404234
)(b+d@-a(-c,2,left,1,408020
b)a)((d+-c+,0,none,0,412078
((c-a)+b)-d,3,left,0,416119
d-)a+(b+c)(,2,right,0,420143
d-)a+)c-b((,1,right,0,423802
b+-c()(d-)a,0,none,0,428103
c)a-b()d(+-,1,left,0,432134
d))b(c-+(a+,0,none,0,435987
((c+a)-d)-b,3,left,0,440015
+b(-)c-)a(d,0,none,0,443877
a)d-c((+-b),1,left,0,447899
c+(a-(b-d)),3,right,0,452006
b)a+d()-c(-,1,left,0,456115
b)c)+d(a-(+,0,none,0,460228
d+(a-(b+c)),3,right,0,464022
@(c-d)+a)-b,3,left,1,468179
c)-d)+(-a(b,0,none,0,471751
a)b+d()(c-+,1,left,0,476113
((d-a)+c)+b,3,left,0,480200
b)a-d((c+)-,1,left,0,484017
))a-d((c++b,1,left,0,488141
c)b-a()d++(,1,left,0,492159
(@b+c)-d)+a,3,left,1,496015
b)a((-)c++d,0,none,0,500245
((a-d)+b)+c,3,left,0,504237
((d-a)+b)+c,3,left,0,507932
a-)c+(+)d(b,0,none,0,512069
d-(a+(b-c)),3,right,0,515813
c)b-a(+)+d(,1,left,0,520094
c-(b+(d-a)),3,right,0,524116
d-(a+(c-b)),3,right,0,528210
-a)+b-)c(d(,0,none,0,531972
b+(c-(d+a)),3,right,0,535902
a-(d+(c+b)),3,right,0,539783
c-(d+(a+b)),3,right,0,543767
d)c+b()-(a+,1,left,0,547906
)d+)a(b-(+c,0,none,0,552096
)(c-b)+d(+a,2,left,0,555895
)(a+c)-b(+d,2,left,0,559915
b)d+c((--a),1,left,0,563819
-c)b+(d-a)(,2,right,0,568245
)(c-b)+d(a-,2,left,0,571870
d-)a+@c+b)(,2,right,1,575923
a+)c-(b+d)(,2,right,0,579969
a)c-b((+d-),1,left,0,583806
b+)d-(c+a)(,2,right,0,587901
-+)d()c+b(a,1,right,0,592063
c)+(-@d+b(a,1,right,1,595937
))a-+d(c(b-,0,none,0,600169
(+c()a--d)@,0,none,1,604070
((b+c)-a)-d,3,left,0,608239
((b+d)-c)-a,3,left,0,612206
c+-d()a+b(),1,right,0,615970
b()c-)d+a(-,1,right,0,619958
)(d-c)+b(a-,2,left,0,624155
)d)(b-(c+-a,0,none,0,628133
((d+c)-a)+b,3,left,0,632237
)(b+d)-a(-c,2,left,0,635770
b+)c-(d-a)(,2,right,0,639898
